# core_ind  cyc  redo_cyc(rollback_state)  restore_cyc  recompute_cyc
0 1844694 187840 8476 179364
1 1844694 193687 9416 184271
2 1844694 189325 8820 180505
3 1844694 195072 8992 186080
4 1844694 190586 8754 181832
5 1844694 186967 7694 179273
6 1844694 178693 8402 170291
7 1844694 191762 8584 183178
8 1844694 173009 7358 165651
9 1844694 196823 8968 187855
10 1844694 188932 8174 180758
11 1844694 200685 9034 191651
12 1844694 191851 8780 183071
13 1844694 179279 8378 170901
14 1844694 191112 9018 182094
15 1844694 193727 8442 185285
16 1844694 189942 9340 180602
17 1844694 188197 7534 180663
18 1844694 179727 7926 171801
19 1844694 184351 8370 175981
20 1844694 214870 10226 204644
21 1844694 177584 7890 169694
22 1844694 194423 8604 185819
23 1844694 204947 9202 195745
24 1844694 200154 8972 191182
25 1844694 187117 8482 178635
26 1844694 187387 8528 178859
27 1844694 217234 11098 206136
28 1844694 187124 8042 179082
29 1844694 189152 8826 180326
30 1844694 197340 8522 188818
31 1844694 211437 9444 201993
32 1844694 196174 8968 187206
33 1844694 192522 8512 184010
34 1844694 198940 8794 190146
35 1844694 197349 9118 188231
36 1844694 186092 8500 177592
37 1844694 193525 8710 184815
38 1844694 193475 9528 183947
39 1844694 194612 9766 184846
40 1844694 195315 8628 186687
41 1844694 191233 8904 182329
42 1844694 184612 9190 175422
43 1844694 198565 9294 189271
44 1844694 187290 8358 178932
45 1844694 203350 9078 194272
46 1844694 177989 8004 169985
47 1844694 186845 8114 178731
48 1844694 201207 9008 192199
49 1844694 185488 8204 177284
50 1844694 194956 8584 186372
51 1844694 199772 8482 191290
52 1844694 190900 8342 182558
53 1844694 186844 9026 177818
54 1844694 192707 9610 183097
55 1844694 187190 9032 178158
56 1844694 194674 8968 185706
57 1844694 194852 7642 187210
58 1844694 175149 7588 167561
59 1844694 185993 8150 177843
60 1844694 192862 8220 184642
61 1844694 200006 9082 190924
62 1844694 199468 9004 190464
63 1844694 203014 9238 193776
# TOTAL cyc=118060416 redo=12303306  redo_frac=0.104212  max_core_cyc=1844694
# DECOMP restore=557942 recompute=11745364  sum=12303306  match=True  restore_frac_of_redo=0.045349 recompute_frac_of_redo=0.954651  recompute_frac_of_total=0.099486
