# core_ind neu_comp neu_comp_end sync_wait commit sync_done rollback
0 196520 89366 68878 66 1272254 349713
1 196717 47653 113579 66 1259172 359610
2 196097 60111 89470 66 1269796 361257
3 197404 56608 88029 66 1265055 369635
4 196532 76917 74463 66 1268784 360035
5 195359 67003 90630 66 1276436 347303
6 195084 102565 63367 66 1271855 343860
7 197600 89041 59455 66 1272286 358349
8 199152 102926 55977 132 1279300 339310
9 196154 99833 46324 132 1264499 369855
10 196905 103277 44844 132 1271949 359690
11 196436 78942 61906 132 1265669 373712
12 197389 104517 58728 132 1270718 345313
13 197149 111414 53455 132 1272031 342616
14 193782 97798 50320 132 1266415 368350
15 197789 113725 41010 132 1270681 353460
16 198274 99308 51742 132 1259946 367395
17 197882 113285 29513 132 1276355 359630
18 197112 133807 24374 132 1276735 344637
19 196486 117672 32590 132 1273691 356226
20 193789 105152 43507 132 1261970 372247
21 196991 108743 36845 132 1276066 358020
22 194523 123740 33142 132 1269673 355587
23 196110 123351 27422 132 1264981 364801
24 196857 123736 37216 132 1266252 352604
25 197043 124178 27953 132 1271993 355498
26 198594 132864 22988 132 1269867 352352
27 196454 126387 31875 132 1248908 373041
28 196340 111438 39254 132 1278113 351520
29 194646 99267 27886 132 1264054 390812
30 196863 135627 30160 132 1272705 341310
31 196624 133840 25985 132 1262328 357888
32 196491 134577 20674 198 1268335 356522
33 198971 147721 15030 264 1273807 341004
34 197959 133269 11046 264 1271055 363204
35 196901 145964 9021 264 1269079 355568
36 196942 158067 66 330 1273211 348181
37 196160 150355 11448 264 1267901 350669
38 196611 132728 15309 264 1263261 368624
39 198507 134318 17397 198 1255493 370884
40 199521 132417 33682 132 1266034 345011
41 196937 103179 35942 132 1268410 372197
42 197515 108366 33191 132 1266299 371294
43 196281 109610 27990 132 1266482 376302
44 198015 103251 21873 132 1273031 380495
45 196355 113516 23610 132 1267131 376053
46 195728 117355 39706 132 1276099 347777
47 198733 108099 39582 132 1269615 360636
48 196547 116610 43186 132 1266205 354117
49 199976 108249 40285 132 1273075 355080
50 197821 120008 36716 132 1267371 354749
51 195951 94655 56639 132 1274112 355308
52 196615 120936 43896 132 1271405 343813
53 197232 120915 38827 132 1268921 350770
54 197739 110747 46768 132 1259090 362321
55 196777 87921 66394 132 1262907 362666
56 196854 96269 73817 66 1269821 339970
57 197375 69189 75576 66 1281148 353443
58 196337 85278 53625 66 1279856 361635
59 196518 75859 81338 66 1271910 351106
60 197612 103329 55822 66 1269323 350645
61 196572 67620 64144 66 1263832 384563
62 197575 67365 74599 66 1268842 368350
63 196126 73972 76269 66 1262940 367424
# TOTAL neu_comp=12601911 neu_comp_end=6865805 sync_wait=2866355 commit=8382 sync_done=81216538 rollback=22956017
# FRAC  neu_comp=0.099608 neu_comp_end=0.054269 sync_wait=0.022656 commit=0.000066 sync_done=0.641952 rollback=0.181449
# CHECK sum_states=126515008 cyc=126515008 match=True  rollback_state=22956017 redo_cyc=22956017 match_redo=True
